LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,y,x
5,0.307,0.1063,0.0852,0.1147,0.07990727,1.33E-07,4.57E-06,0.3332,0.3604,0.2383,0.1763,0.0718,0.1538,0.2755,0.3142,-0.350141643,-0.03800905,-0.085350318,0.485603678,0.506356257,0.485603678,-0.456011382,1.99609883,0.182622068,-0.125985696,-2393675,3876145
3,0.3419,0.0842,0.0633,0.0989,0.15601552,6.55E-07,9.85E-06,0.3326,0.3506,0.212,0.1243,0.0577,0.1503,0.2668,0.3063,-0.363782567,-0.080283998,-0.046280992,0.604787609,0.561482129,0.604787609,-0.551270417,2.274783766,0.281876333,-0.234518866,-2404505,3875165
3,0.2105,0.071,0.0717,0.0841,0.17074585,1.64E-06,1.16E-05,0.2695,0.3155,0.1893,0.1107,0.0984,0.1328,0.217,0.245,-0.384784199,-0.084461638,0.15696649,0.495559503,0.414334471,0.495559503,-0.429056348,1.585090361,0.303238469,-0.053026513,-2404585,3875195
3,0.3322,0.1085,0.0794,0.1169,0.13343513,6.23E-07,8.24E-06,0.3098,0.1713,0.2635,0.1665,0.089,0.163,0.2471,0.2799,-0.385383807,-0.037267081,0.057007126,0.507601543,0.520285364,0.507601543,-0.479403251,2.03803681,0.200736648,-0.115326507,-2404405,3875085
3,0.2817,0.1015,0.0749,0.1016,0.1305178,6.96E-07,8.47E-06,0.2729,0.2862,0.2488,0.1621,0.0838,0.1424,0.2162,0.2421,-0.420091324,-0.000492368,0.056080655,0.470250522,0.453553557,0.470250522,-0.469866945,1.978230337,0.167691677,-0.062016965,-2404345,3875065
3,0.3529,0.0755,0.0662,0.0982,0.14460133,8.27E-07,9.66E-06,0.2725,0.1924,0.1505,0.0832,0.103,0.1254,0.2331,0.2547,-0.210293526,-0.130685089,0.21749409,0.647525677,0.616121888,0.647525677,-0.564619818,2.814194577,0.24838228,-0.402065952,-2404165,3874965
2,0.2606,0.0601,0.0418,0.0648,0.14246754,9.49E-07,1.05E-05,0.2854,0.343,0.1878,0.1145,0.0348,0.1017,0.2263,0.2669,-0.486935867,-0.037630104,-0.091383812,0.625194886,0.452244399,0.625194886,-0.601720959,2.562438545,0.25710754,-0.16235504,-2403335,3875025
2,0.3345,0.0583,0.0417,0.073,0.15472122,3.45E-07,8.71E-06,0.3658,0.3699,0.2241,0.127,0.0357,0.127,0.2999,0.3428,-0.508582969,-0.11195735,-0.07751938,0.703156823,0.567204987,0.703156823,-0.641717791,2.633858268,0.370750135,-0.19763695,-2403275,3875065
2,0.3978,0.0518,0.0401,0.0744,0.14458008,3.24E-07,7.81E-06,0.4042,0.3795,0.2211,0.1153,0.0304,0.1284,0.3269,0.3782,-0.496446701,-0.179080824,-0.137588652,0.769572954,0.669602586,0.769572954,-0.684879288,3.098130841,0.425083241,-0.285506544,-2403225,3875065
2,0.3546,0.0333,0.0263,0.0513,0.12810627,2.08E-07,6.79E-06,0.3879,0.3928,0.1907,0.0953,0.0242,0.0952,0.2949,0.3602,-0.576033058,-0.212765957,-0.041584158,0.828306265,0.628670375,0.828306265,-0.747228381,3.724789916,0.481712062,-0.300568494,-2403095,3875135
2,0.3566,0.037,0.031,0.0604,0.2038203,3.37E-07,1.03E-05,0.3515,0.3678,0.16,0.0808,0.0283,0.0942,0.2668,0.3255,-0.451905626,-0.240246407,-0.045531197,0.81199187,0.63479682,0.81199187,-0.710311751,3.785562633,0.43597561,-0.380565234,-2402795,3874825
2,0.2744,0.0526,0.0442,0.0678,0.09331506,4.85E-07,8.24E-06,0.2943,0.3456,0.1814,0.1079,0.0368,0.1057,0.2401,0.2748,-0.455858748,-0.126245847,-0.091358025,0.678287462,0.503297576,0.678287462,-0.603740503,2.59602649,0.33543904,-0.204036858,-2402455,3874485
6,0.419,0.303,0.2092,0.2628,0.23940732,8.44E-07,9.84E-06,0.444,0.3956,0.397,0.286,0.0575,0.3393,0.3826,0.4102,-0.203394968,0.071049841,-0.5688039,0.16066482,0.446342926,0.16066482,-0.229099443,1.234895373,0.056515647,-0.026960784,-2402285,3874695
6,0.3858,0.0483,0.0394,0.0729,0.13517766,2.20E-07,7.07E-06,0.4397,0.4582,0.227,0.114,0.0295,0.1232,0.3523,0.4126,-0.513837946,-0.202970297,-0.143686502,0.777470629,0.663864937,0.777470629,-0.682145193,3.131493506,0.436734694,-0.259138381,-2402395,3874905
2,0.4467,0.0562,0.0415,0.0839,0.09795266,9.51E-08,5.45E-06,0.443,0.4239,0.2394,0.1228,0.0328,0.1348,0.356,0.4135,-0.48097742,-0.197715917,-0.117092867,0.776496321,0.72016433,0.776496321,-0.68375424,3.31379822,0.411518325,-0.302142545,-2401845,3874055
3,0.3867,0.0639,0.0507,0.0844,0.13459058,6.43E-07,7.81E-06,0.4024,0.4118,0.2208,0.1337,0.0539,0.1275,0.3089,0.372,-0.446920052,-0.138233311,0.030592734,0.716378162,0.649602475,0.716378162,-0.641689662,3.032941176,0.332288401,-0.27308642,-2401625,3873575
2,0.2346,0.0604,0.034,0.058,0.096003205,5.54E-07,7.50E-06,0.2233,0.2743,0.1763,0.1136,0.0239,0.0978,0.1739,0.203,-0.504908237,0.02027027,-0.174438687,0.590508475,0.392026826,0.590508475,-0.60355434,2.398773006,0.236409608,-0.14188367,-2401285,3872685
2,0.2915,0.0626,0.0445,0.0702,0.13893232,1.54E-06,1.01E-05,0.2733,0.2776,0.2052,0.1334,0.0355,0.1109,0.2253,0.2564,-0.490196078,-0.057228916,-0.1125,0.646427563,0.499606255,0.646427563,-0.611833011,2.628494139,0.278386167,-0.173746728,-2400995,3872135
2,0.3881,0.0488,0.04,0.0678,0.121839106,5.00E-07,7.84E-06,0.394,0.3751,0.1874,0.0996,0.0299,0.1089,0.2991,0.3715,-0.468652038,-0.162950257,-0.144492132,0.776607919,0.667282207,0.776607919,-0.702566352,3.563820018,0.381103361,-0.348740226,-2400385,3870975
2,0.2921,0.0572,0.0382,0.0636,0.07331815,2.72E-07,4.83E-06,0.3181,0.3175,0.1966,0.1126,0.0273,0.1091,0.2444,0.291,-0.511145273,-0.052980132,-0.166412214,0.672487833,0.49899911,0.672487833,-0.642395277,2.67736022,0.31208659,-0.195416411,-2400645,3870425
2,0.3858,0.0588,0.0509,0.0765,0.12145149,5.52E-07,5.88E-06,0.4056,0.3815,0.2382,0.1466,0.0454,0.1502,0.3245,0.389,-0.513822688,-0.130820399,-0.057113188,0.735492578,0.667501935,0.735492578,-0.669046074,2.568575233,0.437320574,-0.236538462,-2399525,3868805
2,0.2855,0.0679,0.0421,0.0656,0.12522745,6.88E-07,9.35E-06,0.2975,0.3178,0.2094,0.1414,0.0313,0.1141,0.2324,0.2713,-0.522909091,0.017228464,-0.147138965,0.615732881,0.468975783,0.615732881,-0.626317289,2.50219106,0.253846154,-0.153768438,-2397295,3863235
6,0.315,0.0724,0.0477,0.0811,0.17306437,1.43E-06,1.07E-05,0.3507,0.3722,0.2541,0.1615,0.0469,0.1607,0.2926,0.3265,-0.516109785,-0.056677524,-0.00845666,0.626226123,0.513850465,0.626226123,-0.590507448,1.960174238,0.378807379,-0.10701107,-2386385,3857815
6,0.2737,0.0956,0.0546,0.0888,0.20145693,1.25E-06,1.03E-05,0.3127,0.3413,0.2468,0.1575,0.0593,0.1542,0.2588,0.2931,-0.47079857,0.036876356,0.041264267,0.482263742,0.40941021,0.482263742,-0.510068966,1.774967575,0.23458767,-0.051681076,-2386325,3857855
